material,A_Z,A_r_s,A_r_val,A_r_s_1,A_r_val_1,A_eps_H,A_eps_L,A_EA,A_IP,A_EN,n_A,n_B,B_Z,B_r_s,B_r_val,B_r_s_1,B_r_val_1,B_eps_H,B_eps_L,B_EA,B_IP,B_EN
Pa2CuTlO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,55.0,1.1481,1.3674499999999998,1.10415,1.2688,-3.3676399320790047,-3.3676399320790047,-0.359139577721181,6.7232228093923805,3.182041615835605
Pa2CuPbO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,55.5,1.11925,1.30085,1.07805,1.22445,-3.9817049196941,-3.9817049196941,-0.847862317915435,7.452467594756375,3.3023026384204703
Pa2CuBiO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,56.0,1.09435,1.2496,1.05505,1.1876,-4.54861490826025,-4.54861490826025,-1.311017658548385,8.13030648103377,3.409644411242695
PaZnO3,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,30.0,1.10495,1.10495,1.05065,1.05065,-5.97803987943058,-0.698699985908115,1.59776489778029,9.94132272949577,5.76954381363803
Pa2ZnGaO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,30.5,1.05415,1.22235,1.01055,1.12965,-4.20351491522048,-1.5638449684592475,1.023988054351115,7.807012517544274,4.4155002859476955
Pa2ZnGeO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,31.0,1.0136500000000002,1.138,0.9782500000000001,1.0718,-4.901244901148155,-2.2615749543869224,0.5136563846419251,8.695134784617466,4.604395584629695
Pa2ZnZrO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,35.0,1.3866,0.9752500000000001,1.31365,0.9397500000000001,-4.716449904875235,-2.0767799581140025,0.9038353817754845,8.52465965307225,4.714247517423865
Pa2ZnNbO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,35.5,1.3404500000000001,0.93925,1.2885,0.9122000000000001,-5.279234893524579,-2.6395649467633473,0.468515005556412,8.553268992497564,4.51089199902699
Pa2ZnMoO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,36.0,1.32135,0.9162000000000001,1.2577,0.8863000000000001,-5.128614896562395,-2.488944949801162,0.22650951045597,8.474301494101185,4.3504055022785755
Pa2ZnTcO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,36.5,1.3057500000000002,0.8952500000000001,1.2293,0.86465,-4.96453989987158,-2.3248699531103476,0.19842641099957004,8.560245442361015,4.379335926680295
Pa2ZnRuO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,37.0,1.2903,0.87615,1.2103000000000002,0.8447500000000001,-4.803574903118035,-2.1639049563568022,0.335980758247489,8.807326837385226,4.571653797816355
Pa2ZnRhO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,37.5,1.2756,0.8589500000000001,1.18675,0.82755,-4.74754490424809,-2.1078749574868576,0.5238457044119795,9.1602461802266,4.84204594231929
Pa2ZnPdO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,38.0,1.25625,0.8428,1.1653,0.8124,-5.037219898405715,-2.0352949589507023,0.5738740034148755,9.50198802336866,5.03793101339177
Pa2ZnAgO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,38.5,1.211,1.211,1.1468500000000001,1.1468500000000001,-5.1782648955610195,-2.5385949487997874,0.20785416080372499,8.908002685326334,4.5579284230650305
Pa2ZnCdO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,39.0,1.1684,1.1684,1.1136,1.1136,-5.823784882541705,-0.7503899848655935,1.54031898392943,9.629230620809105,5.58477480236927
Pa2ZnSnO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,40.0,1.0854,1.22945,1.04765,1.16485,-4.79068990337791,-2.1510199566166777,0.4866539551994065,8.408575845426475,4.44761490031294
Pa2ZnSbO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,40.5,1.0541,1.17175,1.01945,1.1157,-5.382364891444579,-2.7426949446833473,0.05800866382116998,9.13940963066667,4.59870914724392
Pa2ZnHfO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,51.0,1.32065,1.0003,1.2502,0.9558,-4.27912491369552,-1.6394549669342875,1.2760156892672856,8.25379029854151,4.7649029939044
Pa2ZnTaO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,51.5,1.28495,0.9711000000000001,1.21325,0.9315,-4.75937990400939,-2.1197099572481575,0.941917446057238,8.8522883864487,4.897102916252971
Pa2ZnWO6,91,1.88385,0.58815,1.76195,0.58595,-2.11584995732601,-2.11584995732601,0.78238058427381,5.40758249091096,3.09498153759238,3,3,52.0,1.2551,0.9478500000000001,1.1927,0.91405,-5.22109989469709,-2.5814299479358573,0.5947627529402245,9.3785870257643,4.98667488935226
